Loop,N_Points,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.9062,0.1079,0.7803,0.7394
1,31,0.9067,0.0585,0.8222,0.5663
2,32,0.9063,0.1168,0.7989,0.5688
3,33,0.9086,0.0970,0.8375,0.6520
4,34,0.9068,0.1081,0.8263,0.5464
5,35,0.9053,0.0662,0.7450,0.7787
6,36,0.9077,0.0985,0.8843,0.2612
7,37,0.9055,0.0775,0.7308,0.8125
8,38,0.9078,0.0743,0.8632,0.3959
9,39,0.9116,0.0901,0.8021,0.7290
10,40,0.9106,0.1038,0.8483,0.4647
11,41,0.9078,0.0965,0.9412,0.2444
12,42,0.9065,0.0843,0.8494,0.5068
13,43,0.9090,0.0813,0.8940,0.2420
14,44,0.9047,0.0890,0.8858,0.2768
15,45,0.9072,0.1046,0.8328,0.5877
16,46,0.9077,0.1198,0.8291,0.5427
17,47,0.9108,0.0888,0.8434,0.4649
18,48,0.9052,0.0952,0.8052,0.6009
19,49,0.9092,0.1051,0.8505,0.6078
20,50,0.9095,0.0789,0.8693,0.5409
21,51,0.9087,0.0963,0.9056,0.3161
22,52,0.9081,0.0916,0.8115,0.6292
23,53,0.9072,0.0793,0.7828,0.7285
24,54,0.9083,0.1011,0.8659,0.3928
25,55,0.9099,0.0845,0.7719,0.5086
26,56,0.9094,0.0857,0.9155,0.4009
27,57,0.9092,0.0794,0.8364,0.6010
28,58,0.9100,0.0896,0.7940,0.6638
29,59,0.9106,0.0843,0.9581,0.1718
30,60,0.9099,0.1071,0.9121,0.3952
31,61,0.9087,0.0877,0.9295,0.3856
32,62,0.9080,0.0781,0.8658,0.5457
33,63,0.9095,0.0808,0.8356,0.6731
34,64,0.9103,0.0862,0.8630,0.6001
35,65,0.9095,0.0986,0.8572,0.5827
36,66,0.9106,0.0740,0.8905,0.4425
37,67,0.9074,0.0951,0.9135,0.3937
38,68,0.9101,0.0936,0.8879,0.5024
39,69,0.9091,0.1000,0.8799,0.4279
40,70,0.9106,0.0781,0.8774,0.5300
41,71,0.9112,0.0909,0.9321,0.3768
42,72,0.9103,0.0851,0.8575,0.5624
43,73,0.9098,0.1059,0.8867,0.4081
44,74,0.9110,0.0969,0.9165,0.4299
45,75,0.9096,0.0904,0.9203,0.4005
46,76,0.9110,0.0850,0.9018,0.4339
47,77,0.9087,0.1034,0.8346,0.7041
48,78,0.9103,0.0822,0.9134,0.4032
49,79,0.9106,0.0856,0.8754,0.4648
50,80,0.9108,0.0847,0.9298,0.3088
