Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,1.00,0.9064,0.0733,0.8820,0.3821
1,31,1.00,0.9054,0.2323,0.8764,0.4710
2,32,1.00,0.9124,0.2648,0.8912,0.4765
3,33,1.00,0.9193,0.2772,0.8927,0.4864
4,34,1.00,0.9185,0.2739,0.9006,0.4759
5,35,1.00,0.9147,0.2813,0.8935,0.3981
6,36,1.00,0.9196,0.3288,0.8594,0.4099
7,37,1.00,0.9240,0.3235,0.8593,0.4140
8,38,1.00,0.9260,0.3203,0.8215,0.4196
9,39,1.00,0.9225,0.3338,0.8267,0.4658
10,40,1.00,0.9323,0.3298,0.8294,0.3940
11,41,1.00,0.9382,0.3323,0.8706,0.3945
12,42,1.00,0.9357,0.3589,0.8643,0.4234
13,43,1.00,0.9356,0.4042,0.8672,0.4845
14,44,1.00,0.9344,0.4029,0.8621,0.4862
15,45,1.00,0.9351,0.4393,0.8594,0.5012
16,46,1.00,0.9360,0.4464,0.8389,0.5496
17,47,1.00,0.9359,0.4668,0.8441,0.5770
18,48,1.00,0.9388,0.4570,0.8622,0.5489
19,49,1.00,0.9431,0.4783,0.8597,0.5871
20,50,1.00,0.9412,0.4977,0.8288,0.6175
21,51,1.00,0.9424,0.4844,0.9070,0.5527
22,52,1.00,0.9409,0.4732,0.9078,0.5526
23,53,1.00,0.9404,0.4892,0.9125,0.5832
24,54,1.00,0.9417,0.5047,0.9057,0.6197
25,55,1.00,0.9425,0.5113,0.9030,0.6151
26,56,1.00,0.9445,0.5111,0.9009,0.6301
27,57,1.00,0.9439,0.5440,0.8990,0.6691
28,58,1.00,0.9409,0.5617,0.8873,0.6451
29,59,1.00,0.9400,0.5689,0.8806,0.7061
30,60,1.00,0.9398,0.5893,0.8734,0.7441
31,61,1.00,0.9404,0.5796,0.8731,0.7780
32,62,1.00,0.9407,0.5896,0.8748,0.7946
33,63,1.00,0.9407,0.5838,0.8779,0.8268
34,64,1.00,0.9415,0.5962,0.8729,0.8383
35,65,1.00,0.9403,0.6081,0.8650,0.8967
36,66,1.00,0.9402,0.5929,0.8660,0.8379
37,67,1.00,0.9394,0.5973,0.8694,0.8391
38,68,1.00,0.9417,0.5785,0.8637,0.8300
39,69,1.00,0.9424,0.5963,0.8593,0.8700
40,70,1.00,0.9455,0.6042,0.8532,0.9116
41,71,1.00,0.9462,0.5942,0.8519,0.8539
42,72,1.00,0.9463,0.5907,0.7966,0.8879
43,73,1.00,0.9460,0.5910,0.8059,1.0917
44,74,1.00,0.9439,0.5960,0.8356,0.9373
45,75,1.00,0.9422,0.5917,0.8406,0.8785
46,76,1.00,0.9411,0.5862,0.8419,0.8783
47,77,1.00,0.9400,0.6030,0.8626,0.8902
48,78,1.00,0.9407,0.5979,0.8526,0.8877
49,79,1.00,0.9383,0.6015,0.8429,0.8750
