Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9089,0.0788,0.8141,0.4539
1,31,0.00,0.9105,0.0858,0.7889,0.5887
2,32,0.00,0.9112,0.0879,0.8224,0.5660
3,33,0.00,0.9182,0.0870,0.8110,0.5484
4,34,0.00,0.9165,0.0947,0.7971,0.5749
5,35,0.00,0.9144,0.0926,0.8341,0.6143
6,36,0.00,0.9144,0.0933,0.8549,0.4242
7,37,0.00,0.9132,0.0916,0.8443,0.6085
8,38,0.00,0.9112,0.1075,0.8246,0.6560
9,39,0.00,0.9102,0.1255,0.8258,0.4992
10,40,0.00,0.9141,0.1230,0.8281,0.4600
11,41,0.00,0.9111,0.1333,0.8311,0.4458
12,42,0.00,0.9085,0.1550,0.8149,0.5666
13,43,0.00,0.9111,0.1747,0.8239,0.5346
14,44,0.00,0.9122,0.1661,0.8456,0.5375
15,45,0.00,0.9080,0.2080,0.8525,0.5542
16,46,0.00,0.9066,0.2065,0.9384,0.4072
17,47,0.00,0.9065,0.2053,0.5759,1.2939
18,48,0.00,0.9071,0.2190,0.8184,0.5209
19,49,0.00,0.9036,0.2155,0.9413,0.4144
20,50,0.00,0.8992,0.2138,0.9451,0.4087
21,51,0.00,0.8979,0.2112,0.8566,0.4904
22,52,0.00,0.8972,0.2109,0.5528,1.6154
23,53,0.00,0.9039,0.2106,0.8392,0.5166
24,54,0.00,0.9027,0.2118,0.8297,0.5529
25,55,0.00,0.8997,0.2097,0.8296,0.5643
26,56,0.00,0.8966,0.2119,0.8560,0.5310
27,57,0.00,0.8938,0.2235,0.9315,0.4347
28,58,0.00,0.8912,0.2206,0.6195,1.3702
29,59,0.00,0.8981,0.2273,0.8793,0.5343
30,60,0.00,0.8969,0.2254,0.8713,0.5407
31,61,0.00,0.8950,0.2252,0.8596,0.5214
32,62,0.00,0.8944,0.2345,0.8435,0.5962
33,63,0.00,0.8932,0.2312,0.8674,0.5784
34,64,0.00,0.8898,0.2524,0.8648,0.4545
35,65,0.00,0.8882,0.2501,0.8614,0.4398
36,66,0.00,0.8873,0.2733,0.8588,0.4523
37,67,0.00,0.8855,0.2739,0.8651,0.4803
38,68,0.00,0.8854,0.2705,0.8759,0.4544
39,69,0.00,0.8862,0.2748,0.8684,0.4826
40,70,0.00,0.8850,0.2726,0.8657,0.5303
41,71,0.00,0.8843,0.2873,0.9494,0.3867
42,72,0.00,0.8827,0.2857,0.8377,0.5615
43,73,0.00,0.8800,0.2940,0.9519,0.3953
44,74,0.00,0.8770,0.2919,0.9466,0.3728
45,75,0.00,0.8740,0.2913,0.9489,0.3925
46,76,0.00,0.8715,0.2931,0.8635,0.6507
47,77,0.00,0.8696,0.2885,0.9469,0.4050
48,78,0.00,0.8667,0.2869,0.9488,0.3964
49,79,0.00,0.8666,0.2836,0.9405,0.4037
