Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.50,0.9106,0.0701,0.8139,0.3778
1,31,0.50,0.9078,0.0861,0.8336,0.3995
2,32,0.50,0.9142,0.1542,0.8398,0.3576
3,33,0.50,0.9127,0.2320,0.8582,0.4035
4,34,0.50,0.9185,0.2622,0.8913,0.4259
5,35,0.50,0.9190,0.2646,0.8727,0.4069
6,36,0.50,0.9196,0.2683,0.8770,0.4317
7,37,0.50,0.9206,0.2788,0.8523,0.4783
8,38,0.50,0.9251,0.3121,0.8385,0.4783
9,39,0.50,0.9237,0.3400,0.9155,0.3618
10,40,0.50,0.9260,0.3772,0.9109,0.4230
11,41,0.50,0.9278,0.3743,0.9217,0.4116
12,42,0.50,0.9287,0.3700,0.9225,0.4253
13,43,0.50,0.9308,0.3629,0.9240,0.4106
14,44,0.50,0.9318,0.3604,0.9143,0.4270
15,45,0.50,0.9307,0.3580,0.9372,0.4244
16,46,0.50,0.9302,0.3513,0.9407,0.4357
17,47,0.50,0.9352,0.3517,0.9086,0.4565
18,48,0.50,0.9373,0.3622,0.9169,0.4032
19,49,0.50,0.9356,0.3778,0.9170,0.4260
20,50,0.50,0.9349,0.3777,0.9123,0.4168
21,51,0.50,0.9391,0.3733,0.8904,0.3822
22,52,0.50,0.9413,0.3658,0.8886,0.3825
23,53,0.50,0.9390,0.3649,0.8942,0.4411
24,54,0.50,0.9368,0.3941,0.8987,0.3845
25,55,0.50,0.9379,0.4336,0.8835,0.4147
26,56,0.50,0.9396,0.4413,0.8597,0.4383
27,57,0.50,0.9402,0.4355,0.8709,0.4905
28,58,0.50,0.9407,0.4346,0.8320,0.4746
29,59,0.50,0.9408,0.4308,0.8476,0.4623
30,60,0.50,0.9441,0.4218,0.8364,0.4918
31,61,0.50,0.9439,0.4224,0.8427,0.4640
32,62,0.50,0.9439,0.4194,0.8230,0.5882
33,63,0.50,0.9449,0.4176,0.8333,0.5723
34,64,0.50,0.9441,0.4218,0.8564,0.4429
35,65,0.50,0.9450,0.4382,0.8384,0.6207
36,66,0.50,0.9447,0.4626,0.8228,0.4893
37,67,0.50,0.9464,0.4590,0.8250,0.4828
38,68,0.50,0.9475,0.4605,0.8549,0.4676
39,69,0.50,0.9485,0.4655,0.8241,0.5068
40,70,0.50,0.9476,0.4885,0.8384,0.4439
41,71,0.50,0.9473,0.4840,0.8753,0.4487
42,72,0.50,0.9492,0.4841,0.8798,0.4797
43,73,0.50,0.9501,0.5175,0.8736,0.4736
44,74,0.50,0.9487,0.5181,0.8664,0.4811
45,75,0.50,0.9503,0.5255,0.8654,0.5015
46,76,0.50,0.9502,0.5321,0.8484,0.5658
47,77,0.50,0.9486,0.5299,0.8439,0.5373
48,78,0.50,0.9503,0.5287,0.8792,0.5523
49,79,0.50,0.9509,0.5340,0.8748,0.5185
