Var_0,Var_1,Var_2,Var_3,Var_4,Target
3.0,0.7210293939173023,0.10678803741034998,19.0,1.0,0.9999985837909883
3.0,0.10235947097117842,0.32952463166100304,13.0,5.0,0.9999858702421879
5.0,0.8342176421994058,0.636891427802063,26.0,3.0,0.00018648040037136493
4.0,0.2184487395590334,0.16759200192390292,18.0,2.0,0.9999997628133838
3.0,0.44354931650989193,0.6170697028032036,23.0,7.0,0.2871119269167551
4.0,0.08570737614272654,0.19639557342123992,36.0,7.0,0.9999999992910233
3.0,0.7990052106704236,0.801787833388304,25.0,5.0,2.3427212726246867e-05
3.0,0.3903558199994039,0.8877597285354892,38.0,6.0,4.518120709900845e-07
3.0,0.35466555639805974,0.5540814952347473,13.0,1.0,0.9978292223254155
2.0,0.5670555702190754,0.26309765235047566,11.0,5.0,0.999981472224723
3.0,0.8388291561347553,0.6839942379816945,39.0,4.0,0.0004961983301026046
2.0,0.9703616927306222,0.6547632620731979,28.0,3.0,0.09420802562010304
4.0,0.060359389096836774,0.7390486749555595,34.0,6.0,0.00010257124029651401
3.0,0.014683883555326821,0.7026126019822304,18.0,3.0,0.9979317310588589
4.0,0.9136749174823312,0.10078505411026788,28.0,9.0,0.999368720560585
3.0,0.9356344089728732,0.2167571369119278,20.0,7.0,0.9761777251774759
4.0,0.043137218141943406,0.7639762905081644,17.0,7.0,0.0013925621643971484
2.0,0.744948357137352,0.07832140992649643,32.0,8.0,0.999999952437254
3.0,0.18271233171649134,0.5887397416386249,35.0,10.0,0.0026130992640074403
4.0,0.5130218457048858,0.033054658686148784,31.0,7.0,0.9999999889372054
4.0,0.45433537975084115,0.3826810721865185,24.0,4.0,0.9999324030672128
4.0,0.6173617877677069,0.9607188587006323,36.0,3.0,2.5129051184958732e-08
4.0,0.5407182023797951,0.9212717115116111,14.0,2.0,1.0723991140510262e-06
4.0,0.5515743363986906,0.7174054536838511,10.0,7.0,2.5480162934297517e-05
2.0,0.8137528732637458,0.6219786101246925,17.0,9.0,0.0003243243336343952
4.0,0.78660456031544,0.4266734931384767,15.0,9.0,0.0004716609646188562
5.0,0.7112651444706954,0.31055474294219976,15.0,2.0,0.9931460797012355
4.0,0.6078805763802274,0.8059139532003005,37.0,8.0,9.256102382200606e-08
2.0,0.6908368503585144,0.14077155086177454,30.0,4.0,0.9999999761438573
3.0,0.19534354504779422,0.0477889559981468,20.0,2.0,0.9999999974816731
4.0,0.9991443102828201,0.42032365992637954,32.0,6.0,0.007044626429340946
4.0,0.16278779828627715,0.004864178541791365,23.0,7.0,0.9999999920695662
5.0,0.37978897654957683,0.523106273425407,38.0,3.0,0.7463331250293489
5.0,0.88941358105275,0.8672611563934424,20.0,9.0,1.1584968519856926e-08
5.0,0.6546058827453489,0.4764504525396508,30.0,8.0,0.0006257968559393187
3.0,0.9491864475264248,0.544700032049227,29.0,10.0,0.00011938465069944061
5.0,0.31045688685142325,0.33943306736280254,22.0,6.0,0.9835944174099804
4.0,0.462809319701353,0.06632760684751222,32.0,1.0,0.9999999966516557
4.0,0.039945579491049606,0.3779710273066334,29.0,3.0,0.9999999228554792
3.0,0.4780486020895825,0.3515807076836927,40.0,6.0,0.9999996444034996
4.0,0.8761035723085681,0.4960476165018047,14.0,4.0,0.015984893075359947
5.0,0.23271770556953048,0.7819036821727197,27.0,2.0,5.873608313603342e-05
3.0,0.28606300970028636,0.9969712721197985,25.0,5.0,6.975956947487538e-07
5.0,0.8571840226052816,0.4483928395489503,16.0,6.0,0.0011204580633500472
2.0,0.5801786089214911,0.8190926147216478,18.0,4.0,0.00012455498049281164
3.0,0.4085113194116247,0.46413226891989057,37.0,2.0,0.9999970494713507
3.0,0.898589535557329,0.945151372211612,11.0,5.0,6.08227206082513e-08
5.0,0.3588155599234546,0.5703929196908379,12.0,3.0,0.03753980143630995
2.0,0.30314681855899284,0.27424733617444963,22.0,5.0,0.999999888636455
2.0,0.11879954165415266,0.15656464559029115,34.0,8.0,0.9999999999901705
4.0,0.4993270930454685,0.29048492833060846,37.0,10.0,0.9999965077689382
2.0,0.7616004662509537,0.743896988840406,33.0,8.0,0.00018701840026076635
4.0,0.2394051923682615,0.5123883837107795,24.0,9.0,0.02420287409860842
3.0,0.13715067225570823,0.6789971753803027,13.0,9.0,0.00021753626385429746
3.0,0.0727787813987082,0.1244280736239815,35.0,3.0,0.9999999999981171
5.0,0.25071424303368683,0.8568363932645102,33.0,8.0,5.498722283445479e-08
4.0,0.3313671103414247,0.24561680207748293,12.0,8.0,0.624986626849436
4.0,0.7515756610934126,0.2382962283166236,40.0,4.0,0.999995123808478
3.0,0.655820134783405,0.9253788504480002,21.0,10.0,9.671601044204381e-08
3.0,0.6297715509068313,0.843271122242169,26.0,1.0,3.712486394029866e-05
3.0,0.960623775431008,0.4040943384283683,28.0,2.0,0.9990078191810208
3.0,0.42175648595820886,0.19956225436126362,19.0,9.0,0.9999821782982673
4.0,0.6763350229265616,0.02692701506428781,16.0,5.0,0.999935045658677
2.0,0.2780965473238175,0.974577635309361,27.0,8.0,6.771403144781303e-07
2.0,0.14878379178908072,0.595950117720805,31.0,4.0,0.9999984482999135
5.0,0.5264654245042553,0.9070561104342924,21.0,6.0,4.660087912936874e-07
