Var_0,Var_1,Var_2,Var_3,Var_4,Target
5.0,0.7081299609132071,0.2028354717612166,23.0,3.0,0.999661480515761
4.0,0.4994482979858743,0.3275643854870268,21.0,6.0,0.9982618689113877
5.0,0.20517593739858964,0.718549471199727,39.0,4.0,2.285676137431955e-05
2.0,0.6540936628108073,0.0238358083355046,23.0,4.0,0.9999999517978672
3.0,0.4675238772140414,0.829330953336688,19.0,10.0,1.8933216670053578e-06
4.0,0.6067300660582183,0.41837274859375395,17.0,1.0,0.9998045796535321
3.0,0.3065675443284761,0.1876527896486569,13.0,3.0,0.9999981276920099
2.0,0.15684951911274603,0.157742555539853,24.0,7.0,0.9999999981148056
4.0,0.1833185420067985,0.8832209585618089,32.0,8.0,1.595321467785289e-07
2.0,0.7522708929359588,0.6528101519685355,15.0,2.0,0.07914146658375615
3.0,0.7539403669562494,0.6207972430765502,36.0,7.0,0.0011479556453524238
4.0,0.7670228788940077,0.570520031941426,33.0,2.0,0.4639987399633425
3.0,0.09074217960494506,0.8542450240538839,26.0,8.0,1.2855436955281489e-05
5.0,0.8995298008596303,0.23687209202328202,24.0,8.0,0.3629372367958381
4.0,0.7341864795937565,0.953818383767308,26.0,9.0,1.4139747275743302e-08
3.0,0.3681070808197694,0.37217137810402456,12.0,9.0,0.06798041785384205
3.0,0.6461317476097058,0.0957469089531407,13.0,7.0,0.999857512699804
2.0,0.8517502820864542,0.8060325429789774,30.0,2.0,0.00013630087164985172
4.0,0.9956205510791671,0.26942983848890023,38.0,6.0,0.8818509918078291
3.0,0.5663006653542517,0.42662947733386697,37.0,2.0,0.9999966436340153
5.0,0.2777271868986157,0.3015112682007828,28.0,2.0,0.9999992500909126
2.0,0.5270073281837885,0.446560102762323,27.0,4.0,0.9999984177032716
3.0,0.4825957751124407,0.8889930399823279,39.0,8.0,4.9944977077002446e-08
3.0,0.3851068027301288,0.16351728670074617,28.0,1.0,0.9999999935849868
3.0,0.8734170952669146,0.40738266320054245,10.0,8.0,0.0026923039316476905
4.0,0.24132874586693992,0.0472745696467914,28.0,8.0,0.99999999772307
4.0,0.9389523482369326,0.7885888579803052,30.0,5.0,2.6209303508163474e-06
3.0,0.9741825282903238,0.7363743230838851,19.0,5.0,1.4275817891599218e-05
2.0,0.2673061021710649,0.5960571016772752,20.0,7.0,0.9981966241199554
3.0,0.6224074397876821,0.9795380166763993,16.0,6.0,3.793070785329143e-07
4.0,0.905975240812496,0.7754015576990332,19.0,1.0,2.112725632798567e-05
4.0,0.7809186039184093,0.6121002264650147,16.0,10.0,9.874349066431133e-06
3.0,0.9329463756330879,0.3405177966453495,30.0,1.0,0.9999596092701457
2.0,0.08335185136229196,0.49226691925841326,25.0,3.0,0.9999999362563957
2.0,0.5151365614348634,0.5199668593815444,29.0,10.0,0.9764086091564449
5.0,0.44213265162403237,0.7422677317210523,17.0,6.0,2.2127227184257853e-05
5.0,0.3979683157009536,0.24316242479758296,11.0,3.0,0.9996400830578137
5.0,0.5481661851831438,0.47991390865807826,32.0,5.0,0.33214078770162175
3.0,0.8337975560754561,0.393671581421108,27.0,4.0,0.9992645120700626
4.0,0.011846001058958985,0.4703320999474031,32.0,7.0,0.999892764655101
5.0,0.17645827746201007,0.2573050499828035,35.0,7.0,0.9999998678383509
3.0,0.6292848056013652,0.9472913250162333,29.0,3.0,8.206088569405338e-07
4.0,0.3768080029813893,0.6322599414722917,11.0,8.0,9.951298707306181e-05
3.0,0.1390423212199447,0.9063980204028713,34.0,2.0,8.184120789803195e-06
5.0,0.6783895491928396,0.8198656022438978,25.0,4.0,2.8898913892934262e-06
4.0,0.5711314899249164,0.7598353294968013,10.0,3.0,3.5505574216160155e-05
4.0,0.11338345029494601,0.0601949990271607,33.0,4.0,0.9999999999678924
3.0,0.047707480979355676,0.6891804271733639,14.0,5.0,0.9712195795283379
5.0,0.47455525121745373,0.2187777159042663,12.0,8.0,0.15704675570484342
4.0,0.20930006921459565,0.006771109268324792,15.0,6.0,0.9999984910454033
2.0,0.10400989283534,0.5805570855218704,36.0,7.0,0.999979736229028
5.0,0.28371257982996445,0.7656067643887677,19.0,10.0,5.20660774255288e-07
4.0,0.03840858887228585,0.3575432361879726,18.0,9.0,0.8296843225711059
3.0,0.537414202920971,0.6836389165489247,26.0,7.0,0.0021701015460162576
3.0,0.9774340572614774,0.28672010866300934,14.0,3.0,0.9810617257985067
5.0,0.12464166610269242,0.3809223817497624,22.0,6.0,0.9818269445745742
4.0,0.7926508271057379,0.4604163029723689,12.0,5.0,0.021140144021327998
4.0,0.4072532468856794,0.8388966147181084,20.0,2.0,3.0526237304412386e-05
3.0,0.914824304702994,0.7045209089398098,21.0,9.0,5.685212678621509e-06
4.0,0.9521980093088015,0.031534361476276355,17.0,6.0,0.9915364513172251
5.0,0.6954310511986099,0.927597274152958,37.0,6.0,3.444852539523356e-09
3.0,0.3461561974508738,0.6493633043158596,38.0,5.0,0.3046795282678067
4.0,0.2560419382905645,0.5542900806668409,28.0,3.0,0.9994095170822053
2.0,0.44985417154766905,0.867191360720219,31.0,6.0,0.0002136603302370128
4.0,0.5862906563894782,0.069708678428239,34.0,4.0,0.9999999761145187
3.0,0.31782519990301955,0.6666893596970217,14.0,2.0,0.7837260625790617
2.0,0.8806777317397911,0.29014772335887895,22.0,7.0,0.9997692927404082
2.0,0.16205188709429377,0.9988465134083103,22.0,5.0,4.399495536359358e-06
4.0,0.2312215421728779,0.9744400521500836,23.0,5.0,8.498901322685536e-07
3.0,0.6721953665267656,0.14868740373075146,24.0,9.0,0.999989735588376
4.0,0.02614644401224784,0.5471431212709479,18.0,2.0,0.9998561223796961
3.0,0.05990578246838947,0.31665822355648965,40.0,2.0,0.9999999999433311
3.0,0.8120218163513854,0.12807592191307987,39.0,4.0,0.9999999723175234
3.0,0.32002322757970786,0.17941691952808245,38.0,9.0,0.9999999996554805
2.0,0.7218678715050648,0.11418300572052469,33.0,8.0,0.9999999575485528
4.0,0.42131272942282966,0.5072039457697357,31.0,9.0,0.015989804521825204
4.0,0.8242162135624713,0.920797279531418,15.0,5.0,2.5797452847655983e-07
4.0,0.8395439133254673,0.5306286028764008,34.0,9.0,6.227889300158644e-05
2.0,0.33325950945751037,0.10937974702829245,35.0,4.0,0.9999999999929519
4.0,0.5943988144160204,0.0789761866911622,36.0,9.0,0.9999999912191245
