Var_0,Var_1,Var_2,Var_3,Var_4,Target
3.0,0.33717819566976964,0.07038013642881853,21.0,7.0,0.9999998584249493
3.0,0.5748425332440003,0.11120103462112682,18.0,2.0,0.9999991783092858
3.0,0.8945938758293586,0.03432836221459758,37.0,7.0,0.9999998719735999
3.0,0.8174257860088534,0.8770427728350537,22.0,9.0,2.6853526337845254e-07
4.0,0.7473049081102392,0.2972200059623165,32.0,2.0,0.9999816842475375
5.0,0.5352650205100289,0.6300668531151891,36.0,6.0,1.976093386483115e-05
2.0,0.7104862611134524,0.22359365791027547,20.0,8.0,0.9999734512627902
5.0,0.6574582759803259,0.13764202535653122,30.0,9.0,0.9999952314798899
5.0,0.7806987441796605,0.3293759465209788,16.0,5.0,0.4971431700460302
4.0,0.2613060291852091,0.4853339647761791,11.0,2.0,0.9969263500086695
2.0,0.6162392975307841,0.822369737534373,32.0,4.0,0.001480901726911766
4.0,0.9366378546615448,0.9455214173978488,28.0,6.0,2.6610612773995134e-08
4.0,0.05321116393638943,0.35221263848563344,35.0,6.0,0.9999998527732347
5.0,0.12311655189241372,0.46164361139053506,18.0,7.0,0.019761872703058483
3.0,0.9879854632793817,0.40163025002439745,23.0,5.0,0.3926798204198872
4.0,0.23901408993228374,0.025414545710194802,26.0,3.0,0.9999999979584206
4.0,0.4250696710600101,0.7474554018992969,40.0,3.0,1.0199147944433654e-05
5.0,0.10095669662139485,0.5519149812790253,30.0,2.0,0.9949539990070047
3.0,0.2791612684562337,0.5696884420327506,25.0,1.0,0.9999619401521415
4.0,0.672849431322236,0.5136629033883804,13.0,9.0,0.00013975937525048494
4.0,0.4000463554099898,0.9719654436127676,22.0,3.0,4.016987034442367e-07
2.0,0.15411781845092376,0.7133569354016385,25.0,8.0,0.2833859838951791
3.0,0.03333705022280104,0.38740801141889136,15.0,5.0,0.9999921755057032
4.0,0.17682412665613195,0.8545566015274215,13.0,8.0,8.526725337624144e-06
4.0,0.35942614997322675,0.7713199104084262,29.0,10.0,5.836364441135747e-07
3.0,0.9324091384976754,0.9179671973922274,17.0,3.0,2.324121104587416e-07
3.0,0.46326026470761134,0.2654700263915061,34.0,10.0,0.9999997582845477
2.0,0.4890922110882295,0.19085358688134313,34.0,4.0,0.9999999994133102
3.0,0.8417373891190697,0.6429931022654798,38.0,8.0,6.914188198222016e-05
2.0,0.5620283500654775,0.6774243479123905,12.0,5.0,0.11157598988117091
2.291223705382147,0.01,1.0,39.65812813932527,9.97567369115028,3.280378501538194e-09
2.105706101114784,1.0,0.5217962732416174,22.080232381093577,3.5389067881338647,0.7898244349796106
