Loop,N_Points,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.9081,0.1239,0.8189,0.5190
1,31,0.9094,0.0656,0.7411,0.5418
2,32,0.9039,0.0597,0.8810,0.2384
3,33,0.9012,0.0798,0.8655,0.4521
4,34,0.9030,0.0619,0.8779,0.5052
5,35,0.9029,0.0897,0.8743,0.4485
6,36,0.9052,0.1240,0.8375,0.4511
7,37,0.9075,0.0964,0.8481,0.5384
8,38,0.9086,0.1040,0.8919,0.4183
9,39,0.9049,0.0833,0.7492,0.6321
10,40,0.9065,0.0651,0.7602,0.5258
11,41,0.9085,0.0730,0.7816,0.7276
12,42,0.9072,0.1090,0.6837,0.7537
13,43,0.9060,0.0897,0.8823,0.4030
14,44,0.9028,0.0893,0.9068,0.3392
15,45,0.9089,0.0906,0.8578,0.6012
16,46,0.9095,0.0848,0.9193,0.3699
17,47,0.9090,0.0720,0.8705,0.4731
18,48,0.9100,0.0964,0.8033,0.5745
19,49,0.9099,0.0551,0.8912,0.4072
20,50,0.9078,0.0871,0.8674,0.4587
21,51,0.9073,0.1012,0.8656,0.5258
22,52,0.9097,0.0857,0.9399,0.2549
23,53,0.9090,0.0795,0.8975,0.3457
24,54,0.9087,0.1056,0.8248,0.6160
25,55,0.9072,0.1127,0.8777,0.5689
26,56,0.9097,0.1050,0.8295,0.5563
27,57,0.9087,0.0805,0.9287,0.3300
28,58,0.9100,0.0853,0.9391,0.2337
29,59,0.9077,0.0828,0.9047,0.3202
30,60,0.9099,0.1165,0.7740,0.6626
31,61,0.9089,0.0718,0.8012,0.7149
32,62,0.9096,0.0832,0.8372,0.5973
33,63,0.9094,0.1010,0.8827,0.4626
34,64,0.9080,0.0830,0.7737,0.6527
35,65,0.9111,0.0913,0.8909,0.4766
36,66,0.9085,0.0789,0.8580,0.5422
37,67,0.9096,0.0852,0.8382,0.5666
38,68,0.9088,0.0827,0.9216,0.2862
39,69,0.9097,0.0990,0.7985,0.6085
40,70,0.9092,0.1097,0.8393,0.5463
41,71,0.9107,0.1080,0.7378,0.7439
42,72,0.9105,0.0990,0.9178,0.3573
43,73,0.9098,0.0797,0.9043,0.4371
44,74,0.9102,0.1093,0.8824,0.5271
45,75,0.9104,0.0797,0.8691,0.4560
46,76,0.9098,0.0862,0.7861,0.6450
47,77,0.9090,0.1020,0.8046,0.6708
48,78,0.9094,0.0863,0.8306,0.6173
49,79,0.9111,0.0815,0.9168,0.4201
50,80,0.9101,0.0946,0.8863,0.4330
