Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,1.00,0.9062,0.1079,0.7803,0.7394
1,31,1.00,0.9070,0.1550,0.7957,0.5466
2,32,1.00,0.9149,0.1693,0.8508,0.4832
3,33,1.00,0.9140,0.1987,0.8431,0.4981
4,34,1.00,0.9207,0.2804,0.8441,0.5021
5,35,1.00,0.9240,0.2978,0.9040,0.3466
6,36,1.00,0.9244,0.3230,0.9161,0.3346
7,37,1.00,0.9209,0.3199,0.9159,0.3436
8,38,1.00,0.9237,0.3642,0.9263,0.3671
9,39,1.00,0.9239,0.3692,0.9151,0.3754
10,40,1.00,0.9221,0.3958,0.9297,0.3818
11,41,1.00,0.9189,0.3885,0.9279,0.3758
12,42,1.00,0.9196,0.3815,0.9294,0.3481
13,43,1.00,0.9229,0.3893,0.9241,0.3695
14,44,1.00,0.9216,0.3848,0.8850,0.4834
15,45,1.00,0.9196,0.4354,0.8831,0.4876
16,46,1.00,0.9169,0.4248,0.8967,0.4591
17,47,1.00,0.9165,0.4198,0.9103,0.4992
18,48,1.00,0.9143,0.4672,0.9057,0.4876
19,49,1.00,0.9193,0.4667,0.8917,0.5067
20,50,1.00,0.9180,0.4961,0.9088,0.4781
21,51,1.00,0.9170,0.5141,0.9054,0.4946
22,52,1.00,0.9159,0.5209,0.9071,0.4580
23,53,1.00,0.9142,0.5477,0.9260,0.5075
24,54,1.00,0.9132,0.5699,0.9314,0.5049
25,55,1.00,0.9115,0.5682,0.9276,0.4849
26,56,1.00,0.9103,0.5874,0.9317,0.4945
27,57,1.00,0.9100,0.6076,0.9209,0.5158
28,58,1.00,0.9126,0.6186,0.9334,0.5465
29,59,1.00,0.9104,0.6238,0.9314,0.5513
30,60,1.00,0.9134,0.6159,0.9264,0.5328
31,61,1.00,0.9120,0.6271,0.9239,0.5081
32,62,1.00,0.9142,0.6277,0.9309,0.4831
33,63,1.00,0.9117,0.6466,0.9328,0.5217
34,64,1.00,0.9103,0.6580,0.9318,0.5382
35,65,1.00,0.9079,0.6691,0.9418,0.5681
36,66,1.00,0.9059,0.6647,0.9261,0.5832
37,67,1.00,0.9035,0.6719,0.9242,0.5759
38,68,1.00,0.9069,0.6817,0.9263,0.5658
39,69,1.00,0.9044,0.6900,0.9252,0.5689
40,70,1.00,0.9034,0.6832,0.9333,0.6202
41,71,1.00,0.9060,0.6791,0.9357,0.6062
42,72,1.00,0.9049,0.6920,0.9413,0.5527
43,73,1.00,0.9025,0.7104,0.9454,0.5550
44,74,1.00,0.9027,0.7158,0.9502,0.5914
45,75,1.00,0.8999,0.7263,0.9445,0.6080
46,76,1.00,0.9027,0.7439,0.9453,0.6334
47,77,1.00,0.9040,0.7662,0.9462,0.6362
48,78,1.00,0.9030,0.7709,0.9458,0.6387
49,79,1.00,0.9047,0.7880,0.9475,0.6624
