Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9073,0.0804,0.7799,0.4823
1,31,0.00,0.9074,0.0799,0.8054,0.4420
2,32,0.00,0.9066,0.0796,0.7717,0.5242
3,33,0.00,0.9082,0.0786,0.6946,0.7108
4,34,0.00,0.9084,0.1100,0.7651,0.5118
5,35,0.00,0.9152,0.1221,0.6612,0.7006
6,36,0.00,0.9149,0.1395,0.6712,0.7522
7,37,0.00,0.9215,0.1370,0.6665,0.6969
8,38,0.00,0.9258,0.1403,0.6682,0.7027
9,39,0.00,0.9229,0.1483,0.6546,0.7480
10,40,0.00,0.9260,0.1564,0.6471,0.7919
11,41,0.00,0.9257,0.1544,0.5937,0.8503
12,42,0.00,0.9234,0.1626,0.6231,0.7972
13,43,0.00,0.9230,0.1601,0.5810,0.9076
14,44,0.00,0.9222,0.1852,0.6573,0.9693
15,45,0.00,0.9226,0.1835,0.8545,0.4243
16,46,0.00,0.9196,0.1836,0.7767,0.5949
17,47,0.00,0.9174,0.2050,0.6441,0.9283
18,48,0.00,0.9163,0.1971,0.7992,0.6071
19,49,0.00,0.9174,0.2256,0.8529,0.4994
20,50,0.00,0.9158,0.2260,0.6562,0.9517
21,51,0.00,0.9149,0.2241,0.7820,0.7032
22,52,0.00,0.9153,0.2395,0.9283,0.3826
23,53,0.00,0.9136,0.2366,0.9407,0.3235
24,54,0.00,0.9156,0.2397,0.8945,0.4383
25,55,0.00,0.9150,0.2374,0.7608,0.7073
26,56,0.00,0.9152,0.2374,0.8985,0.4501
27,57,0.00,0.9115,0.2362,0.9159,0.3695
28,58,0.00,0.9081,0.2369,0.8500,0.6102
29,59,0.00,0.9117,0.2496,0.9032,0.4828
30,60,0.00,0.9090,0.2466,0.9136,0.5014
31,61,0.00,0.9064,0.2445,0.9028,0.5007
32,62,0.00,0.9025,0.2430,0.8037,0.6380
33,63,0.00,0.9024,0.2464,0.9200,0.4785
34,64,0.00,0.8996,0.2457,0.9406,0.4368
35,65,0.00,0.8965,0.2440,0.7354,0.7729
36,66,0.00,0.8972,0.2496,0.7562,0.6749
37,67,0.00,0.8964,0.2492,0.9380,0.4440
38,68,0.00,0.8936,0.2472,0.7646,0.7329
39,69,0.00,0.8960,0.2431,0.7617,0.7526
40,70,0.00,0.8981,0.2629,0.7705,0.7507
41,71,0.00,0.8993,0.2640,0.9363,0.4158
42,72,0.00,0.8975,0.2658,0.9420,0.4168
43,73,0.00,0.8952,0.2782,0.9440,0.3986
44,74,0.00,0.8919,0.2762,0.7940,0.7448
45,75,0.00,0.8941,0.2728,0.7786,0.7631
46,76,0.00,0.8928,0.2793,0.7724,0.7821
47,77,0.00,0.8910,0.2788,0.7693,0.7943
48,78,0.00,0.8906,0.2857,0.7491,0.8445
49,79,0.00,0.8915,0.2806,0.7415,0.8604
