Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9089,0.0654,0.8503,0.5908
1,31,0.02,0.9096,0.0669,0.8414,0.6524
2,32,0.04,0.9087,0.0830,0.9112,0.2971
3,33,0.06,0.9061,0.0873,0.9015,0.3300
4,34,0.08,0.9125,0.0902,0.8982,0.3538
5,35,0.10,0.9131,0.0905,0.9358,0.2822
6,36,0.12,0.9104,0.1229,0.8775,0.3954
7,37,0.14,0.9083,0.1278,0.8584,0.5573
8,38,0.16,0.9044,0.1262,0.9162,0.3894
9,39,0.18,0.9085,0.1267,0.9095,0.4028
10,40,0.20,0.9141,0.1475,0.8799,0.4273
11,41,0.22,0.9157,0.1494,0.9047,0.4402
12,42,0.24,0.9171,0.1536,0.8951,0.4331
13,43,0.27,0.9151,0.1518,0.8916,0.4352
14,44,0.29,0.9144,0.1992,0.9369,0.2806
15,45,0.31,0.9140,0.2227,0.9429,0.2479
16,46,0.33,0.9114,0.2184,0.9359,0.2391
17,47,0.35,0.9113,0.2369,0.9401,0.2375
18,48,0.37,0.9068,0.2557,0.9600,0.2228
19,49,0.39,0.9067,0.2519,0.9592,0.2159
20,50,0.41,0.9071,0.2543,0.9569,0.2231
21,51,0.43,0.9048,0.3132,0.9330,0.2746
22,52,0.45,0.9058,0.3263,0.9494,0.2662
23,53,0.47,0.9046,0.3268,0.9492,0.2557
24,54,0.49,0.9003,0.3467,0.9491,0.2940
25,55,0.51,0.9003,0.3624,0.9446,0.3064
26,56,0.53,0.8970,0.3981,0.9509,0.3341
27,57,0.55,0.8940,0.3980,0.9455,0.3299
28,58,0.57,0.8916,0.4234,0.9483,0.3580
29,59,0.59,0.8909,0.4325,0.9455,0.3627
30,60,0.61,0.8905,0.4400,0.9430,0.3572
31,61,0.63,0.8939,0.4586,0.9283,0.3953
32,62,0.65,0.8958,0.4577,0.9388,0.3966
33,63,0.67,0.8964,0.4878,0.9476,0.4409
34,64,0.69,0.8982,0.4843,0.9138,0.4168
35,65,0.71,0.9035,0.4835,0.9220,0.4172
36,66,0.73,0.9028,0.5096,0.8672,0.6057
37,67,0.76,0.9034,0.5075,0.9192,0.4591
38,68,0.78,0.9034,0.5185,0.9346,0.4629
39,69,0.80,0.9024,0.5366,0.9138,0.4770
40,70,0.82,0.9004,0.5361,0.9228,0.4696
41,71,0.84,0.8995,0.5564,0.9244,0.4872
42,72,0.86,0.9013,0.5705,0.9238,0.5098
43,73,0.88,0.9015,0.5933,0.9227,0.5254
44,74,0.90,0.9037,0.6032,0.9285,0.5338
45,75,0.92,0.9046,0.6124,0.9203,0.5262
46,76,0.94,0.9036,0.6258,0.9307,0.5296
47,77,0.96,0.9025,0.6332,0.9276,0.5235
48,78,0.98,0.9029,0.6375,0.9277,0.5291
49,79,1.00,0.9028,0.6570,0.9333,0.5569
