Var_0,Var_1,Var_2,Var_3,Var_4,Target
4.0,0.1135148975651705,0.9758990753041771,18.0,6.0,2.21242368938014e-06
4.0,0.03615481168388172,0.6747575355479548,23.0,5.0,0.5435733713173212
4.0,0.35571192548283004,0.591093796400768,24.0,1.0,0.9979092875484254
3.0,0.5158775585336144,0.21869488406195206,40.0,8.0,0.9999999903537801
5.0,0.5741420672717975,0.423888513310947,40.0,4.0,0.8350535670215243
3.0,0.5366179393810485,0.05477630641839797,22.0,6.0,0.9999993842967704
2.0,0.3062554325596516,0.800012414519695,26.0,10.0,1.4872023914384847e-05
2.0,0.3862557045721921,0.203817600806138,20.0,2.0,0.9999999818800384
4.0,0.9926252188293663,0.6423235896723938,31.0,9.0,2.36583897106616e-06
3.0,0.8563738222458219,0.14154480779268477,30.0,4.0,0.9999939505894779
4.0,0.45307316421852045,0.014298176522828922,38.0,4.0,0.9999999998822915
2.0,0.4914256471168945,0.7625987404370257,23.0,6.0,0.044494890795560155
5.0,0.2749614838192147,0.4874896093695,15.0,2.0,0.9918006621033878
3.0,0.6088737119425218,0.11789034889183825,29.0,10.0,0.9999998208654094
3.0,0.14826783345141817,0.5370239335255683,14.0,5.0,0.999609801201509
3.0,0.17472039766172523,0.31216233298779344,33.0,9.0,0.9999999273510087
3.0,0.22685206740827385,0.6229327868090315,39.0,3.0,0.9945857878829704
3.0,0.9277547110698735,0.40441987704781557,19.0,6.0,0.2364246326403358
4.0,0.47612876670677134,0.7389280350293922,15.0,6.0,0.00013717988300421694
3.0,0.3715086489221502,0.4606339331779741,13.0,9.0,0.0059017336105194685
4.0,0.10730000594175945,0.8322282126110723,11.0,3.0,0.0002157465168160692
3.0,0.8485424974646865,0.7342320603491269,17.0,1.0,0.000159295469335158
3.0,0.8642538264488825,0.8180282274633799,16.0,8.0,8.559049087548132e-07
3.0,0.5914917647678457,0.48831148503117594,29.0,1.0,0.9999204733792325
4.0,0.424163574943697,0.1529086976699833,11.0,4.0,0.9999406204545382
2.0,0.018637014009065114,0.3973766579145433,27.0,4.0,0.9999999976685814
4.0,0.19084949866136536,0.1885791458986048,34.0,2.0,0.9999999994470989
4.0,0.7005831220355727,0.03720011126203446,12.0,8.0,0.998771278187672
5.0,0.07189812414744658,0.13459619616396956,19.0,3.0,0.9999994286004504
