Var_0,Var_1,Var_2,Var_3,Var_4,Target
2.0,0.9123098683430061,0.09793800083683545,31.0,6.0,0.9999994603749313
3.0,0.016258186492993557,0.04109228915946632,33.0,6.0,0.9999999999981097
4.0,0.06925784636572421,0.5880561747191522,29.0,6.0,0.8544457046398198
3.0,0.724862599234025,0.843420983484937,12.0,3.0,4.650605866321326e-06
3.0,0.3853577723534901,0.7010143864990049,39.0,6.0,0.0008115261127540755
4.0,0.1815765620584192,0.06619140256666646,22.0,10.0,0.9999999394349922
4.0,0.22454487148257943,0.0839874582520027,16.0,6.0,0.9999931954988001
5.0,0.12278076697157095,0.4713721780902714,22.0,1.0,0.9999713311878478
5.0,0.4666684394154905,0.16507009043837326,21.0,5.0,0.9999398292166237
4.0,0.8553531995430053,0.8700905590116769,32.0,3.0,4.4232035853490356e-07
3.0,0.610914625357208,0.36727960976045465,10.0,5.0,0.9762918392547151
4.0,0.775295016916056,0.9160242768892799,13.0,7.0,1.2802400853741131e-07
3.0,0.7403159776465549,0.3057588192888017,28.0,5.0,0.9999046727572072
4.0,0.9756468487167,0.6535378189129516,20.0,4.0,0.00011382358665004015
3.0,0.9309086092748362,0.19223756380393503,14.0,4.0,0.9974591882563137
5.0,0.5753932002396508,0.5991316160037343,27.0,2.0,0.09960304127655768
2.0,0.5306231860327064,0.42224855537260736,18.0,6.0,0.9999551392063087
3.0,0.8008048076847066,0.39288012005020945,35.0,10.0,0.8636561420307525
4.0,0.2358385551401822,0.5015539799993691,24.0,9.0,0.04079049416988502
4.0,0.17613929948981977,0.523299414906933,37.0,1.0,0.9999028336124212
3.0,0.13046990311287346,0.9857901121978371,28.0,4.0,1.2998645606157028e-06
2.0,0.29263241806548623,0.808207246899437,21.0,8.0,0.00021261196340999634
2.0,0.09090919152302454,0.44950940335067363,25.0,4.0,0.9999999620500385
4.0,0.75110624605764,0.17545614155520572,17.0,2.0,0.9998974039022851
4.0,0.2046775945425927,0.7806752160626638,38.0,8.0,3.264627767074391e-07
5.0,0.3345571796690801,0.9678440773483592,25.0,8.0,2.401799150746216e-08
3.0,0.41263826071854554,0.031522036774796876,23.0,7.0,0.9999999464504796
2.0,0.942131037281467,0.6733344295688194,28.0,3.0,0.053392542073718616
3.0,0.4970522638607616,0.6910467914092282,25.0,1.0,0.4665833774773666
5.0,0.9528320039033296,0.24823975049361025,30.0,4.0,0.02633252533311836
3.0,0.49233213461178743,0.7358988197929647,11.0,9.0,3.3603659803467033e-05
2.0,0.5244317725293891,0.8585394087694354,36.0,3.0,0.00028374319465853065
4.0,0.26410121537164954,0.9547577469426658,33.0,3.0,1.2607976959147523e-07
3.0,0.1002848132009637,0.4355080356958651,14.0,2.0,0.9999972636701477
2.0,0.6975631158648619,0.5392059336470705,30.0,9.0,0.8435445473902731
2.0,0.45962846995360446,0.22260897708796928,19.0,2.0,0.9999999137617691
4.0,0.42609356490292877,0.010978761592437169,34.0,7.0,0.9999999995916162
4.0,0.5576694414643264,0.6359658961376293,12.0,2.0,0.02770634934824432
3.0,0.8261702458848268,0.8911059582636356,18.0,7.0,4.80762686926593e-07
3.0,0.6412254262395038,0.10335517960916198,13.0,9.0,0.9994781142164826
2.0,0.35580042861385686,0.8240406900769894,16.0,3.0,0.014000465899374951
4.0,0.6212776806960272,0.1313238624963936,37.0,2.0,0.9999999616380982
3.0,0.32482190739776673,0.2808657445999486,35.0,9.0,0.9999999628708727
5.0,0.8768641109522365,0.7537815443611968,27.0,7.0,5.797252353536261e-07
3.0,0.8940602858777641,0.6156876264621188,39.0,5.0,0.006090008136418704
2.0,0.4383399469998235,0.21997341655485175,38.0,4.0,0.999999999906688
3.0,0.04779512999640813,0.29241699378780384,20.0,8.0,0.99999247995589
3.0,0.7874563903242765,0.9455218824685775,32.0,8.0,3.577281595233984e-08
3.0,0.15520670209627396,0.14156415547284712,26.0,2.0,0.9999999997298075
4.0,0.03843263132211077,0.5736425730246535,11.0,7.0,0.0458947308079171
4.0,0.3739065718261635,0.9005552237272534,17.0,5.0,8.457318453065974e-06
5.0,0.6757517075357422,0.3548308376716685,30.0,10.0,0.603199274937529
3.0,0.9949384454138543,0.38437558876503153,20.0,8.0,0.017638750147448125
4.0,0.8369726707476828,0.7768155016613609,40.0,8.0,5.240885906785273e-08
5.0,0.29916056717617295,0.5526211648549186,15.0,6.0,0.001317265174638581
4.0,0.5870231868581149,0.4893552104974569,35.0,5.0,0.5369142465747747
5.0,0.6617652901388159,0.3231327993121143,15.0,8.0,0.009676729971204938
4.0,0.6994817783400784,0.7167327653568762,24.0,10.0,1.611746908692722e-06
5.0,0.24891989942445988,0.2594321898765956,34.0,4.0,0.9999998695124935
